,genero_musica,artista,listeners,playcount,biografia,artistas_similares
97,hiphop,Kutt Calhoun,101017,684369,"Born and raised in Kansas City, Kutt Calhoun shuttled between his mother and his sister’s house during his formative years. While at a Kansas City YMCA during the summer before ninth grade, Kutt realized that his ability to cleverly put words together could have benefits beyond the classroom. Kutt discovered that he could rap.

In St. Joseph, Missouri, in 1996 Kutt got a wake-up call. He was shot in the back.  ""This was my warning,"" he says.  ""I stopped selling dope altogether. <a href=""https://www.last.fm/music/Kutt+Calhoun"">Read more on Last.fm</a>","['Skatterman & Snug Brim', 'Big Scoob', 'Cognito', '57th Street Rogue Dog Villians']"
98,hiphop,Matthew Rix,452,503389,"After 17 years of music business success, Matthew Rix (The Mattrix) is traveling to cities around the world for a one night high energy music business event.

In 2014 Matthew traveled the world speaking to artists at the Remix Your Future events. He also started his one minute daily Music Business audio program ""Mattrix Minute"".  In 2014 alone the Mattrix Minute saw over 5.5 million sales and streams from 29 different countries, now in 2016 that number is well over 8 million sales and streams. <a href=""https://www.last.fm/music/Matthew+Rix"">Read more on Last.fm</a>","['LYRICAST', 'NXICON', ""Kenn O'be`"", 'Narcoticz']"
99,hiphop,Gift Of Gab,21680,183861,"Gift of Gab made his name as the technically adept MC in the vaunted underground rap duo Blackalicious, in partnership with producer/DJ Chief Xcel. Born Tim Parker, he grew up mostly in Pacoima, part of L.A.'s San Fernando Valley region, but attended high school in Sacramento. There he first met Chief Xcel (born Xavier Mosley) in 1987. Parker, then calling himself Tiny T or Gabby T, was already developing keen skills as a battle MC, and he and Mosley teamed up the following year. <a href=""https://www.last.fm/music/+noredirect/Gift+Of+Gab"">Read more on Last.fm</a>",[]
106,hiphop,Bishop Nehru,144270,1479687,"  Markel Scott, better known as his stage name Bishop Nehru, is a rapper/producer/video director and editor from Rockland County, NY. He is signed to Nas' ""Mass Appeal"" Label. 

  Bishop Nehru is a passionate emcee who has been described as a breath of fresh air. On July 4th,2012 he was selected as Worldstar Hip Hop's youth rap talent of the week for his 8 bar freestyle called languages over Mos Def's Mathematics beat (84,000 plus views). He has released many music videos for tracks from his mixtapes Nehruvia and StrictlyFLOWz. <a href=""https://www.last.fm/music/Bishop+Nehru"">Read more on Last.fm</a>","['AKTHESAVIOR', 'Clear Soul Forces', 'CJ FLY', 'Planet Asia']"
109,hiphop,2022 Hit Songs Music Mix,563,1554," <a href=""https://www.last.fm/music/2022+Hit+Songs+Music+Mix"">Read more on Last.fm</a>","['Gaming Music 2022', 'Primary Root', 'Lofi Gemini', 'Valorant Gaming Music']"
111,hiphop,Wiz Khalifa,3308221,68333314,"Cameron Jibril Thomaz (born September 8, 1987 in Minot, North Dakota), better known by his stage name Wiz Khalifa, is an American rapper based in Pittsburgh, Pennsylvania, signed to Rostrum Records. According to the Black and Yellow Songfacts, his stage name is derived from khalifa, an Arabic word meaning ""successor"", and wisdom. His nickname growing up was ""Wizard"" which was shortened to Wiz when Khalifa was fifteen.

In 2005 he released his first official mixtape <a href=""https://www.last.fm/music/Wiz+Khalifa"">Read more on Last.fm</a>","['Juicy J', 'Snoop Dogg & Wiz Khalifa', '2 Chainz', 'Wale']"
112,hiphop,Post Malone,2814624,250164526,"Austin Richard Post (born July 4, 1995), known professionally as Post Malone, is an American rapper, singer, songwriter, and record producer. Known for his variegated vocals, Malone has gained acclaim for blending genres and subgenres of hip-hop, pop, R&B, and trap. His stage name was derived from inputting his birth name into a rap name generator

Malone began his music career in 2011 and gained recognition with his 2015 debut single ""White Iverson"", which peaked at number 14 on the US Billboard Hot 100. <a href=""https://www.last.fm/music/Post+Malone"">Read more on Last.fm</a>","['Tyla Yaweh', 'The Kid LAROI', 'Post Malone & Swae Lee', 'Jack Harlow']"
116,hiphop,Jack Harlow,1464568,61467639,"Jackman Thomas ""Jack"" Harlow (born March 13, 1998), is an American rapper and songwriter. He is signed to Generation Now and Atlantic Records. He is also the co-founder of his own musical collective, Private Garden. He is best known for his single ""What's Poppin"", which peaked at number 2 on the Billboard Hot 100.

Harlow was born and raised in Louisville. Harlow began rapping at age 12. He and a friend used a Guitar Hero microphone and a laptop to record rhymes and songs. <a href=""https://www.last.fm/music/Jack+Harlow"">Read more on Last.fm</a>","['Cordae', 'The Homies', 'Logic', 'Drake']"
119,hiphop,Alcott,2401,17580,"There exist at least two bands with this name.

1.) alcott is an alternative rock/indie band from Kobe, Japan. They formed in August 2010 and so far released two full lengths.

Discography:

Communication Box (2011/03/06)
bed (2012/03/10)

Official website:
http://alcott.sakura.ne.jp/wodrpress

2.) Alcott is a power pop band that rode in on the wave of their unlikely hit ""Time Circuits On"", an ode to the Spielberg classic Back To The Future.  The band would eventually break up after the members went their own ways. <a href=""https://www.last.fm/music/Alcott"">Read more on Last.fm</a>","['Plot Scraps', 'ank', 'Shout it Out', 'The Cheserasera']"
121,hiphop,Rhymefest,149300,1396038,"Che Smith (born July 6, 1977 in Chicago, Illinois), better known by his stage name Rhymefest, is a Grammy Award winning American hip hop artist signed to Mark Ronson's Allido Records. In 2006 he released his debut album Blue Collar, and released his second album, titled El Che, in 2010. In 2005 he won a Grammy Award for the Best Rap Song, along with Kanye West, for his contribution in writing Jesus Walks.

He gained attention because his lyrics were both witty and honest <a href=""https://www.last.fm/music/Rhymefest"">Read more on Last.fm</a>","['Consequence', 'Sean Price', 'Talib Kweli', 'Murs']"
123,hiphop,Cardi B,1837477,55313435,"Belcalis Marlenis Almánzar (born October 11, 1992), known professionally as Cardi B, is an American rapper and songwriter. Born and raised in New York City, she became an Internet celebrity by achieving popularity on Vine and Instagram. From 2015 to 2017, she appeared as a regular cast member on the VH1 reality television series Love & Hip Hop: New York, which depicted her pursuit of her music aspirations. She released two mixtapes—Gangsta Bitch Music, Vol. 1 and Vol. 2, before signing with label Atlantic Records in early 2017. <a href=""https://www.last.fm/music/Cardi+B"">Read more on Last.fm</a>","['Latto', 'Megan Thee Stallion', 'GloRilla', 'Saweetie']"
124,hiphop,Hip Hop Loves,127,251," <a href=""https://www.last.fm/music/Hip+Hop+Loves"">Read more on Last.fm</a>",[]
125,hiphop,Brisko100,93,150," <a href=""https://www.last.fm/music/Brisko100"">Read more on Last.fm</a>",[]
126,hiphop,J. Rawls,125345,953070,"Known in the independent rap world for his production skills, J. Rawls has worked with everyone from Masta Ace, The Beastie Boys, Wordsworth, Black Star and J Sands (who he works with as one half of Ohio's underground hip-hop group Lone Catalysts). With his earliest recollection of hip-hop from movies such as ""Wild Style"" and ""Beat Street"" and influenced by Madlib, Pete Rock and Jay Dee he has always produced and made music he has loved. In 2001 he released his solo debut called ""The Essence of J. <a href=""https://www.last.fm/music/J.+Rawls"">Read more on Last.fm</a>","['Jazz Liberatorz', 'Bugseed', 'Dela', 'DJ Mitsu the Beats']"
127,hiphop,Gang Starr,1368737,29320206,"Gang Starr was an influential American hip-hop duo, composed of late rapper Guru (Backronym for Gifted Unlimited Rhymes Universal, real name Keith Elam) and DJ Premier (real name Chris Martin). Premier originally from Houston and Guru from Boston, but they were based in and represented Brooklyn, New York, epitomizing the New York City hip-hop sound. The entirety of Gang Starr's catalog, especially Step In The Arena (1991) ,Daily Operation (1992), and Hard To Earn (1994) are well-respected among critics and hip-hop heads alike. <a href=""https://www.last.fm/music/Gang+Starr"">Read more on Last.fm</a>","['Jeru the Damaja', 'Big L', 'Mobb Deep', 'Pete Rock & C.L. Smooth']"
128,hiphop,Real Hip Hop,406,4078," <a href=""https://www.last.fm/music/Real+Hip+Hop"">Read more on Last.fm</a>","['RealJoynerLucas', 'Litty Freestyle', 'Freddie Gibbs - Topic', 'makentosius']"
130,hiphop,Lil Baby,1194742,111245139,"Rapper Lil Baby grew up in Atlanta hanging with friends like Young Thug, Coach K, and Pee, leaning more toward a life of petty crime and street hustling while his friends were working in the music industry. In 2015, at age 19, Lil Baby went to prison for two years for a probation violation. Upon his release in 2017, he jump-started his rap career with a mixtape called Perfect Timing, released in April of that year. The mixtape featured cameos from friends like Lil Yachty <a href=""https://www.last.fm/music/Lil+Baby"">Read more on Last.fm</a>","['Lil Durk', 'Lil Baby & Gunna', 'Moneybagg Yo', 'Polo G']"
131,hiphop,Knox Hill,15228,174006," <a href=""https://www.last.fm/music/Knox+Hill"">Read more on Last.fm</a>","['Mass of Man', 'Kvng Moses', 'DJ Hoppa', 'Anilyst']"
132,hiphop,Turbo,210557,4410872,"There are multiple artists using this name:

1. Turbo is a Polish metal band. It was started in January 1980 by Henryk Tomczak (formerly in Stress and Heam, both pioneering Polish hard rock groups). The first line-up were formed by Wojciech Hoffmann – guitar, Wojciech Anioła – drums and Wojciech Sowula – vocals. Soon a single was released, the tracks being W środku tej nocy (Deep in the Night) and Byłem z tobą tyle lat (So many years with you). <a href=""https://www.last.fm/music/Turbo"">Read more on Last.fm</a>","['TSA', 'Kat', 'Acid Drinkers', 'Kat & Roman Kostrzewski']"
136,hiphop,Lizzo,1464686,47213310,"Melissa Jefferson (born April 27, 1988 in Detroit, Michigan, U.S.), known professionally as Lizzo, is an American rapper and singer. She is a founding member of indie hip hop groups The Chalice, Grrrl Prty, The Clerb, Ellypseas, and Absynthe. Her debut album, Lizzobangers, was released in 2013. In 2015, she released her sophomore album, Big Grrrl Small World.

Born in Detroit in the late 80’s, Lizzo spent much of her formative years in the church <a href=""https://www.last.fm/music/Lizzo"">Read more on Last.fm</a>","['Chlöe', 'Meghan Trainor', 'Chloe x Halle', 'Jesy Nelson']"
138,hiphop,Saweetie,963448,16461879,"Diamonté Quiava Valentin Harper, known professionally as Saweetie, is an American rapper. After the release of her debut single ""Icy Grl"" in 2018, she was signed to her then-manager Max Gousse's record label Artistry Worldwide, a subsidiary of Warner Records.

Saweetie released her debut EP, High Maintenance, in 2018. Her second EP, Icy, was released in March 2019 and spawned the top-40 single ""My Type"".

In 2021, she received two nominations for the 64th Annual Grammy Awards including one for Best New Artist. <a href=""https://www.last.fm/music/Saweetie"">Read more on Last.fm</a>","['City Girls', 'Latto', 'Kash Doll', 'Rubi Rose']"
140,hiphop,Homeboy Sandman,105649,1406923,"Angel Del Villar II (born September 24, 1980), better known by his stage name Homeboy Sandman, is an American rapper from Elmhurst, Queens, New York, United States.

Homeboy Sandman recorded and released his first EP, Nourishment, in March 2007. His debut album, entitled Nourishment (Second Helpings), was released in August 2007. In early 2008, Homeboy Sandman's work began to be featured on underground radio programs the Squeeze Radio Show on WKCR 89. <a href=""https://www.last.fm/music/Homeboy+Sandman"">Read more on Last.fm</a>","['Open Mike Eagle', 'Aesop Rock', 'Your Old Droog', 'Rob Sonic']"
142,hiphop,The Hip-Hoppers,8,15," <a href=""https://www.last.fm/music/The+Hip-Hoppers"">Read more on Last.fm</a>",[]
144,hiphop,Tee Grizzley,558553,14317989,"Born in Detroit, Grizzley was raised by his grandmother in the Joy Road area of West Detroit. In middle school, he founded the musical group, All Stars Ball Hard along with three of his friends. In 2011, his mother was sentenced to 15 years in prison for drug trafficking. His father was murdered in 2012.

On July 1, 2014, Tee Grizzley was one of three people arrested following an attempted robbery at a jewelry store in Lexington, Kentucky. On September 30 <a href=""https://www.last.fm/music/Tee+Grizzley"">Read more on Last.fm</a>","['42 Dugg', 'Polo G', 'Moneybagg Yo', 'Pooh Shiesty']"
145,hiphop,greengo,257,2174,"Country of origin: Portugal Location: Porto Status: Active Genre: Psychedelic Stoner Metal. Members are: Martelo - 	Bass, Vocals; Chaka - Drums <a href=""https://www.last.fm/music/greengo"">Read more on Last.fm</a>","['Solar Corona', 'Cobrafuma', 'Gator, The Alligator', 'The Black Wizards']"
147,hiphop,Migos,1493164,53983213,"Migos is a rap trio-group from Lawrenceville, GA consisting of members Quavo (Quavious Keyate Marshall), Offset (Kiari Kendrell Cephus) and Takeoff (Kirshnik Khari Ball).

Originally the group started as family, who all had an interest in music. It wasn't until 2008 that this trio took their talent seriously, and put together and released their first project ""Juug Season"" in 2011. T​he group later released another mixtape titled ""No Label"" in 2012, which featured ""Bando"", a track that was​ soon labeled a ""dope-boy anthem"".  <a href=""https://www.last.fm/music/Migos"">Read more on Last.fm</a>","['Quavo', 'Offset', 'Quality Control', 'Rich the Kid']"
148,hiphop,Blueface,443506,7364467,"Blueface is an LA based rapper who rose to prominence extremely fast, largely due to his high energy, spur-of-the-moment performances and his tumbling, off-kilter flow. He went viral in late 2018 due to success of songs like “Respect My Cryppin'”, ""Dead Locs"" and ""Thotiana"" from his mixtape Famous Cryp. In 2019, he released the mixtape ""Dirt Bag"" Since then, in 2020, he has released the mixtape Find The Beat. <a href=""https://www.last.fm/music/Blueface"">Read more on Last.fm</a>","['NLE Choppa', 'YBN Nahmir', 'DaBaby', 'Rich the Kid']"
151,hiphop,Mustard,913351,16107570,"There are several artists using this name:

(1) American rap producer DJ Mustard (born as Dijon Isaiah McFarlane on June 5, 1990 in Los Angeles, California). Mustard is well-known for his producer tag ""Mustard on the beat, ho"", said by YG. He has produced hit singles for artists such as Tyga, YG, Kendrick Lamar, Rihanna, Fergie, Big Sean, Tinashe, Jeremih, and Lil Dicky.

(2) MUSTARD is a drummer from London, a vocalist from Oslo, two guitarists from Kortgard and a bassist from Bergen. http://www.mustardband.com <a href=""https://www.last.fm/music/Mustard"">Read more on Last.fm</a>","['YG', 'Rich the Kid', 'Don Toliver', 'Roddy Ricch']"
153,hiphop,Trey Songz,1943890,24861740,"
Tremaine Aldon Neverson (born November 28, 1984 in Petersburg, Virginia, USA), better known by his stage name Trey Songz, is a Grammy award nominated American singer, producer and actor. After releasing many mixtapes under the name Prince of Virginia he signed to Atlantic Records in 2005 and released his debut album I Gotta Make It. His second album, Trey Day, was released in 2007 and earned him a Grammy nomination. His latest album, Ready, was released in September 2009 and debuted at #3 on the Billboard 200. <a href=""https://www.last.fm/music/Trey+Songz"">Read more on Last.fm</a>","['August Alsina', 'Chris Brown', 'Pleasure P', 'J. Holiday']"
156,hiphop,Rae Sremmurd,1441944,33038125,"Rae Sremmurd ( /ˈreɪ ʃrˈɪmɜːrd/) is an American hip hop duo originating from Tupelo, Mississippi formed by two brothers, Slim Jxmmi and Swae Lee. In 2013, they signed a record deal with Mike Will Made-It's EarDrummers imprint. In January 2015, the duo released their debut album SremmLife, which was certified platinum by the Recording Industry Association of America (RIAA). In August 2016, the duo released their second album, SremmLife 2. During that same year, the duo also created their own record label, called SremmLife Crew Records. <a href=""https://www.last.fm/music/Rae+Sremmurd"">Read more on Last.fm</a>","['Migos', 'DJ Drama', 'Rich the Kid', 'Swae Lee']"
157,hiphop,Ja Rule,1100497,8940791,"Jeffrey Atkins (born February 29, 1976 in Queens, New York), better known by his stage name Ja Rule, is an American rapper, singer and actor signed to his own label Mpire Records. He began his career in the group Cash Money Click and released his debut solo album, Venni Vetti Vecci, in 1999. He has since released 2000's Rule 3:36, 2001's Pain Is Love, 2002's The Last Temptation, 2003's Blood in My Eye and 2004's R.U.L.E. He now plans to release his seventh studio album, Venni Vetti Vecci 2010, sometime later this year. <a href=""https://www.last.fm/music/Ja+Rule"">Read more on Last.fm</a>","['Nelly', 'Fat Joe', 'Bow Wow', 'Chingy']"
161,hiphop,Reks,91775,1437713,"Corey Isiah Christie, better known by his stage name Reks is a Boston rapper. His albums Along Came The Chosen (2001, Landspeed Records) and Grey Hairs (2008, Showoff Records) were both released to general acclaim in the hip hop community. His debut featured hip hop musicians including Young Zee, Ed OG, J-Live and 7L while his second album featured DJ Premier, Large Professor, Skyzoo, Big Shug, Termanology, Krumbsnatcha and was mostly produced by Statik Selektah. <a href=""https://www.last.fm/music/Reks"">Read more on Last.fm</a>","['Termanology', 'Torae', 'Statik Selektah', 'Joell Ortiz']"
162,hiphop,FaRe 'N' HiTe,18432,139471," <a href=""https://www.last.fm/music/FaRe+%27N%27+HiTe"">Read more on Last.fm</a>","['Bakground', 'Pizza Hotline', 'Adolf Nomura', 'JVNLIII']"
163,hiphop,Roddy Ricch,1166556,39342837,"Rodrick Wayne Moore Jr., was born on October 22, 1998 in Compton, California, where he was also raised.[4] He spent some time living in Atlanta, Georgia in his youth.[5] Roddy Ricch started rapping and singing as young as 8, and he began making beats at the earliest at age 16. In November 2018, he released the mixtape, Feed Tha Streets II, which has peaked at number 68 on the Billboard 200 Chart, led by Ricch's breakout song Die Young. In December 2019 <a href=""https://www.last.fm/music/Roddy+Ricch"">Read more on Last.fm</a>","['Polo G', 'Lil Baby', 'A Boogie wit da Hoodie', 'DaBaby']"
167,hiphop,Kev-O,75,169," <a href=""https://www.last.fm/music/Kev-O"">Read more on Last.fm</a>",[]
169,hiphop,DJ Krush,647719,13854057,"DJ Krush (Hideaki Ishi) was born in 1962 in Tokyo. Gifted producer & DJ with a superb sense in mixing and composing his sound who's been greatly received in the international club scene. At an early age, Ishii dropped out of school, and joined a local gang, and a few years later, Yakuza. It was the movie ""Wild Style"" that got him into hip hop in the early 80's, and in 1987, he formed Krush Posse which made numerous appearances in various media as the best hip hop act in Japan. <a href=""https://www.last.fm/music/DJ+Krush"">Read more on Last.fm</a>","['DJ Krush & Toshinori Kondo', 'DJ Cam', 'The Herbaliser', 'DJ Food']"
172,hiphop,Aka Saint Dior,16,22," <a href=""https://www.last.fm/music/Aka+Saint+Dior"">Read more on Last.fm</a>",[]
176,hiphop,Quavo,976886,21472121,"Quavious Keyate Marshall (born April 2, 1991), known professionally as Quavo, is an American rapper and record producer, one third of Atlanta hip-hop group Migos alongside Takeoff and Offset.

Quavo’s individual career was initiated by a series of guest features for acclaimed hip-hop artists like Travis Scott, Young Thug, A$AP Ferg, Post Malone and DJ Khaled. On December 21, 2017 he released a collaboration album with Travis Scott called Huncho Jack, Jack Huncho. He released his debut solo album QUAVO HUNCHO on October 11, 2018. <a href=""https://www.last.fm/music/Quavo"">Read more on Last.fm</a>","['Offset', 'Migos', 'Quavo & Takeoff', 'Quality Control']"
177,hiphop,Trick Daddy,492364,2865197,"Trick Daddy, born Maurice Young in 1973, also known as Trick Daddy Dollars or T Double D is a Dirty South rapper from Miami, of Slip-N-Slide Records. Trick Daddy grew up in the Liberty City section of Miami, arguably the city's roughest area.

Trick Daddy built a substantial following in the south, with the regional hits ""Nann Nigga"" and ""Shut Up"" (both featuring fellow Slip-N-Slide rapper Trina) before breaking through to achieve national prominence in 2001 with his hit singles ""Take It To Da House"" and ""I'm A Thug."" <a href=""https://www.last.fm/music/Trick+Daddy"">Read more on Last.fm</a>","['Juvenile', 'Ludacris', 'Big Tymers', 'Trina']"
178,hiphop,Abstract,55207,1319572,"Growing up in New Jersey, Luke Terkovich, otherwise known as Abstract, was involved with music at an early age. Learning how to play piano, electric guitar, and the drums were Luke’s first involvement with music — and he did it all before 6th grade. With a move across country from New Jersey to Jackson, Wyoming, the distance between learning and playing new instruments got larger. It wasn’t until several years later that Luke began to mess around with freestyling during his high school years spent at Jackson Hole High. <a href=""https://www.last.fm/music/Abstract"">Read more on Last.fm</a>","['Ivan B', 'Justin Stone', 'Ollie', 'Witt Lowry']"
179,hiphop,Diddy,946523,8518734,"(""Diddy"" is a name being used by two different artists - Sean Combs [US] (1) and Richard Dearlove [UK] (2).

(1) Sean John Combs is an American musical artist best known for his top 40 rap songs and collaborations. He is also known for his penchant for changing his name quite often. Previously, he's been known as ""Puff Daddy"", ""P. Diddy"", ""Sean John"", ""Puff"", and ""Puffy"". 

Combs runs the record label Bad Boy Records, the clothing lines Sean John and Sean by Sean Combs, a movie production company, and two restaurants. <a href=""https://www.last.fm/music/Diddy"">Read more on Last.fm</a>","['Ja Rule', 'Diddy - Dirty Money', 'B2K', 'Nelly']"
182,hiphop,Top 40 Hip-Hop Hits,2011,7067," <a href=""https://www.last.fm/music/Top+40+Hip-Hop+Hits"">Read more on Last.fm</a>","['Top 40 Pop Hits', 'Juicy J feat. Lil Wayne and 2 Chainz', ""Hip Hop's Finest"", 'Dirty Money Music Group']"
183,hiphop,Apathy,170040,3011085,"There are several artists titled Apathy.

1) Chad Bromley (born March 8, 1979), better known by his stage name Apathy (formerly ""The Alien Tongue""), is a rapper and producer from Willimantic, Connecticut.

His first major release was his debut album; Eastern Philosophy in March 2006 with guest appearances from Celph Titled, Ryu, and Blue Raspberry. His second album Wanna Snuggle? was released in 2009 and his third studio album Honkey Kong was released in 2011, both to critical acclaim. <a href=""https://www.last.fm/music/Apathy"">Read more on Last.fm</a>","['Celph Titled', 'Vinnie Paz', 'Army of the Pharaohs', 'Jedi Mind Tricks']"
187,hiphop,Don Toliver,1570947,113865879,"Caleb Zackery “Don” Toliver (born June 12, 1994), is a rapper, singer, and songwriter from Houston, Texas. Toliver began his musical career in May 2017, releasing the collaborative mixtape Playa Familia with friend and fellow rapper Yungjosh93.

Don Toliver’s solo debut came just a few months later, with the debut singles “I Gotta” and “Diva” dropping in November and December, respectively. The singles quickly caught the ear of Atlantic Records, which signed Toliver to the label in March 2018. <a href=""https://www.last.fm/music/Don+Toliver"">Read more on Last.fm</a>","['Travi$ Scott', 'Gunna', 'Offset', 'Metro Boomin']"
188,hiphop,Jrocka,2,3," <a href=""https://www.last.fm/music/Jrocka"">Read more on Last.fm</a>",[]
190,hiphop,Young Thug,1440586,125343810,"Jeffery Lamar Williams, better known by his stage name Young Thug (acronym for Truly Humble Under God, also uses the name ""SEX!!"" and was briefly known as ""Jeffery""), is an American rapper from Atlanta, Georgia who is signed to Gucci Mane's 1017 Brick Squad Records, Asylum Records and Atlantic Records. Thug grew to prominence in 2013 after releasing his mixtape 1017 Thug to positive critical reception. He has collaborated with artists such as Gucci Mane, Young Scooter, Rich Homie Quan and Waka Flocka Flame. <a href=""https://www.last.fm/music/Young+Thug"">Read more on Last.fm</a>","['Lil Keed', 'Future', 'Future & Young Thug', 'Gunna']"
191,hiphop,Black Rob,128944,598209,"Black Rob (born Robert Ross) was a rapper formerly signed to Bad Boy Records. He began associating with the label as early as 1996, appearing on several Bad Boy albums, as well as other projects. These guest appearances earned him a media buzz and he kept attention with the smash hit single ""Whoa!"". Following this, the album Life Story was released in 2000 and rose above Platinum sales. His second album, The Black Rob Report, failed to perform as strongly as his debut and quickly disappeared from the Billboard 100 charts. <a href=""https://www.last.fm/music/Black+Rob"">Read more on Last.fm</a>","['Sheek Louch', 'The Lox', 'N.O.R.E.', 'Beanie Sigel']"
192,hiphop,Sm!les,4,4," <a href=""https://www.last.fm/music/Sm%21les"">Read more on Last.fm</a>",[]
196,hiphop,Group Home,169560,1572941,"Group Home is a Hip Hop duo, consisting of members Lil' Dap and Melachi the Nutcracker. They came to prominence as members of the Gang Starr Foundation, along with Gang Starr members DJ Premier & Guru, and MC's Afu Ra, Bahamadia, Big Shug and Jeru The Damaja. Lil' Dap made his rhyming debut on Gang Starr's 1992 classic Daily Operation, on the song ""I'm The Man"". Both members appeared on Gang Starr's critically acclaimed 1994 effort Hard to Earn, on the tracks ""Speak Ya Clout"" and ""Words From The Nutcracker"". <a href=""https://www.last.fm/music/Group+Home"">Read more on Last.fm</a>","['Jeru the Damaja', 'Smif-n-Wessun', 'Black Moon', 'Erick Sermon']"
197,hiphop,Iggy Azalea,1567580,49898478,"Amethyst Amelia Kelly, known professionally as Iggy Azalea, is an Australian rapper. At the age of 16, Azalea moved from Australia to the United States in order to pursue a career in music. Azalea earned public recognition after releasing the music videos for her songs ""Pussy"" and ""Two Times"" on YouTube, both of which gained rapid popularity. Azalea shortly after released her debut mixtape, Ignorant Art (2011), and subsequently signed a recording contract with American rapper T.I.'s Grand Hustle label. <a href=""https://www.last.fm/music/Iggy+Azalea"">Read more on Last.fm</a>","['Brooke Candy', 'Saweetie', 'Cardi B', 'Nicki Minaj']"
198,hiphop,The Notorious B.I.G.,3428339,85291277,"Christopher George Latore Wallace (May 21, 1972 – March 9, 1997), known professionally as The Notorious B.I.G., Biggie Smalls, or Biggie, was an American rapper. He is widely considered to be one of the greatest hip-hop artists of all time.

Wallace was born and raised in the Brooklyn borough of New York City. His debut album Ready to Die (1994) made him a central figure in East Coast hip hop and increased New York City's visibility in the genre at a time when West Coast hip hop dominated the mainstream. <a href=""https://www.last.fm/music/The+Notorious+B.I.G."">Read more on Last.fm</a>","['2Pac', 'Dr. Dre', 'Nas', 'Mobb Deep']"
199,hiphop,LIL UZI VERT,2083789,292104667,"Symere Bysil Woods (born July 31, 1995, Philadelphia, USA), known professionally as Lil Uzi Vert, is an American rapper, singer, and songwriter. Characterized by their face tattoos, facial piercings, eccentric hairstyles, and androgynous fashion, their music is often defined by dark subject matters and imagery built on a melodic emo approach to trap.

They attracted mainstream attention following the release of their debut single ""Money Longer"" in 2016. <a href=""https://www.last.fm/music/LIL+UZI+VERT"">Read more on Last.fm</a>",[]
200,hiphop,112,683738,4886145,"112 (pronounced ""One-TWELVE"") is an American R&B quartet from Atlanta, Georgia. They are best known for hit singles such as ""Anywhere"" and ""Dance With Me"", and for winning a Grammy for their collaboration ""I'll Be Missing You"" with Puff Daddy and Faith Evans. Formerly artists for Sean ""P. Diddy"" Combs' Bad Boy Records, the group left Bad Boy and signed to the Def Soul roster in the early 2000s.

The groups is made up of members Daron Tavaris Jones <a href=""https://www.last.fm/music/112"">Read more on Last.fm</a>","['Dru Hill', 'Jagged Edge', 'Donell Jones', 'Joe']"
202,hiphop,R R=NOW,5,30," <a href=""https://www.last.fm/music/R+R=NOW"">Read more on Last.fm</a>",[]
203,hiphop,Christ Hip Hop,10,10," <a href=""https://www.last.fm/music/Christ+Hip+Hop"">Read more on Last.fm</a>",[]
206,hiphop,2 Chainz,1254860,22585330,"Tauheed Epps (born September 12, 1976), better known by his stage name 2 Chainz, formerly known as Tity Boi, is an American rapper from College Park, Georgia. He was first known for being one-half of southern hip hop duo, Playaz Circle. They're recognized for being signed to Ludacris' record label Disturbing tha Peace and their debut single ""Duffle Bag Boy"".

Tity Boi AKA 2 Chainz is one half of Playaz Circle along with long time friend Dolla Boy. <a href=""https://www.last.fm/music/2+Chainz"">Read more on Last.fm</a>","[""Lil' Wayne"", 'Gucci Mane', 'Rick Ross', 'Young Jeezy']"
207,hiphop,Gazelle Hunter,871,3230," <a href=""https://www.last.fm/music/Gazelle+Hunter"">Read more on Last.fm</a>","['ANDRADA  POPA', ""Nikki's Wives"", 'public Noise', 'Seroa']"
208,hiphop,Pop Smoke,1270061,109723935,"Bashar Barakah Jackson (July 20, 1999 – February 19, 2020), known professionally as Pop Smoke, was an American rapper and actor from Canarsie, Brooklyn, New York. He started his musical career in late 2018 with his debut single ""MPR (Panic Part 3 Remix)"", and rose to fame with the release of his breakout singles ""Welcome to the Party"" and ""Dior"" in 2019. His style of rap was heavily influenced by 50 Cent, DMX, and Meek Mill and was characterized by a signature and distinguishable drill-style rap, the style typically seen in the UK rap scene. <a href=""https://www.last.fm/music/Pop+Smoke"">Read more on Last.fm</a>","['DUSTY LOCANE', 'Fivio Foreign', 'Rah Swish', 'Lil Tjay']"
209,hiphop,Urbanlegends,121,3025," <a href=""https://www.last.fm/music/Urbanlegends"">Read more on Last.fm</a>","['NJUMETA', 'Swa Tix', 'zappp', 'Emmanuel Chidozie']"
211,hiphop,Nicki Minaj,4032679,238537475,"Onika Tanya Maraj-Petty, born December 8th, 1982, is known professionally as Nicki Minaj. Minaj is a Trinidadian-born rapper and singer based in the United States of America. Nicki Minaj is most recognized for her musical versatility, alter egos, and the animated flow of her raps. She first gained underground attention after releasing her debut mixtape, Playtime Is Over. Nicki later released two more mixtapes before her debut album, Sucka Free and Beam Me Up Scotty. <a href=""https://www.last.fm/music/Nicki+Minaj"">Read more on Last.fm</a>","['Young Money', 'City Girls', 'London On Da Track', 'JT']"
213,hiphop,Tee Marsh,3,5," <a href=""https://www.last.fm/music/Tee+Marsh"">Read more on Last.fm</a>",[]
214,hiphop,Joey Cool,6619,94071," <a href=""https://www.last.fm/music/Joey+Cool"">Read more on Last.fm</a>","['UBI', 'Maez301', 'Godemis', 'Bernz']"
